semana,app_id,canal,installs,compradores_unicos,total_compras,revenue_usd,arpi,ticket_promedio
2026-05-25,com.univision.prendetv,Treble,1,0,0,,,
2026-06-01,id1531467766,lychee,151797,5402,5404,9330.536154,0.06146719733,1.726598104
2026-06-01,id1531467766,appgradear424,60681,2363,2363,7224.698279,0.1190603035,3.057426271
2026-06-01,id1531467766,organic,39086,1427,1427,4316.305965,0.1104309974,3.024741391
2026-06-01,id1531467766,entravision,47511,760,760,1247.484112,0.0262567429,1.641426463
2026-06-01,id1531467766,rocket,2745,294,296,840.4850362,0.306187627,2.839476474
2026-06-01,id1531467766,bcnagency,13940,376,376,539.0001023,0.03866571752,1.43351091
2026-06-01,id1531467766,googleadwords_int,113,298,298,468.7572624,4.148294358,1.573010948
2026-06-01,id1531467766,tiktokglobal_int,583,224,224,435.9624515,0.747791512,1.946260944
2026-06-01,id1531467766,Apple Search Ads,33639,482,482,348.2228878,0.01035176099,0.7224541241
2026-06-01,id1531467766,product_vix,4491,327,327,277.043816,0.06168866979,0.8472287952
2026-06-01,id1531467766,Digital_Web_LCDLF,0,52,52,266.3872446,,5.122831627
2026-06-01,id1531467766,miqdigitaluk,2,16,16,35.60097784,17.80048892,2.225061115
2026-06-01,id1531467766,Social_YouTube_longform,0,0,0,,,
2026-06-01,com.univision.prendetv,Social_tiktok,29,0,0,,,
2026-06-01,com.univision.prendetv,product_vix,13462,428,428,,,
2026-06-01,id1531467766,Social_facebook,2,0,0,,,
2026-06-01,com.univision.prendetv,dv360_int,0,37,37,,,
2026-06-01,id1531467766,Social_instagram,2,0,0,,,
2026-06-01,id1531467766,Twitter_Paid,12,0,0,,,
2026-06-01,com.univision.prendetv,tiktokglobal_int,12829,621,623,,,
2026-06-01,id1531467766,QR_code_Arelys,0,0,0,,,
2026-06-01,com.univision.prendetv,Social_Facebook_longform,32,0,0,,,
2026-06-01,id1531467766,Social_Facebook_comment,0,0,0,,,
2026-06-01,com.univision.prendetv,world_cup_sports_page,3,0,0,,,
2026-06-01,id1531467766,,39,4,4,,,
2026-06-01,com.univision.prendetv,Social_YouTube_longform,4,0,0,,,
2026-06-01,com.univision.prendetv,miqdigitaluk,33,0,0,,,
2026-06-01,id1531467766,influencers,0,0,0,,,
2026-06-01,id1531467766,QR_code,32,0,0,,,
2026-06-01,com.univision.prendetv,crm_vix_avod_psh,0,0,0,,,
2026-06-01,com.univision.prendetv,crm_vix_avod_eml,0,0,0,,,
2026-06-01,com.univision.prendetv,Web_article,1,0,0,,,
2026-06-01,com.univision.prendetv,Social_Univision,0,0,0,,,
2026-06-01,id1531467766,Web_article,0,0,0,,,
2026-06-01,com.univision.prendetv,MiQ_int,1,0,0,,,
2026-06-01,com.univision.prendetv,,151,2,2,,,
2026-06-01,id1531467766,Digital,55,2,2,,,
2026-06-01,com.univision.prendetv,Social_instagram,5,0,0,,,
2026-06-01,id1531467766,PDOOH,1,0,0,,,
2026-06-01,com.univision.prendetv,Product_vix,0,0,0,,,
2026-06-01,com.univision.prendetv,TikTok_Paid,0,0,0,,,
2026-06-01,com.univision.prendetv,appgradear424,44824,355,355,,,
2026-06-01,com.univision.prendetv,QR_code,123,0,0,,,
2026-06-01,com.univision.prendetv,Digital_Web_Univision,0,0,0,,,
2026-06-01,com.univision.prendetv,lychee,223967,2696,2699,,,
2026-06-01,id1531467766,Digital_Web_Univision,0,0,0,,,
2026-06-01,com.univision.prendetv,Social_Facebook_image,1,0,0,,,
2026-06-01,com.univision.prendetv,xiaomipai_int,9,0,0,,,
2026-06-01,com.univision.prendetv,oppopaipreinstall_int,348,2,2,,,
2026-06-01,com.univision.prendetv,QR_code_Arelys,2,0,0,,,
2026-06-01,com.univision.prendetv,winclap,1565,33,33,,,
2026-06-01,id1531467766,Social_tiktok,11,0,0,,,
2026-06-01,id1531467766,MiQ_int,0,0,0,,,
2026-06-01,id1531467766,Social_Univision,0,0,0,,,
2026-06-01,com.univision.prendetv,Facebook_Paid,2,0,0,,,
2026-06-01,id1531467766,TikTok_Paid,2,0,0,,,
2026-06-01,com.univision.prendetv,Social_facebook,16,0,0,,,
2026-06-01,id1531467766,Social_Facebook_longform,2,0,0,,,
2026-06-01,com.univision.prendetv,rocket,1538,691,692,,,
2026-06-01,id1531467766,Product_vix,0,1,1,,,
2026-06-01,id1531467766,Social_Televisa,0,0,0,,,
2026-06-01,com.univision.prendetv,Twitter_Paid,85,4,4,,,
2026-06-01,com.univision.prendetv,Digital,102,0,0,,,
2026-06-01,com.univision.prendetv,OneFootball,2,0,0,,,
2026-06-01,com.univision.prendetv,organic,181758,901,901,,,
2026-06-01,com.univision.prendetv,Digital_Web_LCDLF,0,1,1,,,
2026-06-01,id1531467766,crm_vix_avod_eml,0,0,0,,,
2026-06-01,com.univision.prendetv,Digital_Promo,0,0,0,,,
2026-06-01,id1531467766,Digital_Promo,0,0,0,,,
2026-06-01,com.univision.prendetv,googleadwords_int,135070,1446,1447,,,
2026-06-01,id1531467766,Facebook_Paid,0,0,0,,,
2026-06-01,com.univision.prendetv,entravision,57366,161,161,,,
2026-06-01,com.univision.prendetv,crm_vix_svod_eml,0,0,0,,,
2026-06-01,com.univision.prendetv,bcnagency,22264,100,100,,,
2026-06-01,com.univision.prendetv,influencers,2,0,0,,,
2026-06-01,com.univision.prendetv,Social_Facebook_comment,1,0,0,,,
2026-06-01,id1531467766,dv360_int,0,0,0,,,
2026-06-01,id1531467766,crm_vix_svod_eml,1,0,0,,,
2026-06-08,id1531467766,lychee,767162,37747,37769,82161.84006,0.1070984226,2.175377692
2026-06-08,id1531467766,appgradear424,293810,20676,20689,45641.43256,0.1553433599,2.206072433
2026-06-08,id1531467766,organic,77994,6016,6019,18900.17416,0.2423285658,3.140085423
2026-06-08,id1531467766,entravision,68934,2926,2927,4437.890079,0.06437882727,1.516190666
2026-06-08,id1531467766,bcnagency,64147,2608,2609,3995.876404,0.06229249075,1.531573938
2026-06-08,id1531467766,rocket,16635,1169,1170,3581.245904,0.2152837935,3.060893935
2026-06-08,id1531467766,tiktokglobal_int,2525,1514,1516,2867.183958,1.135518399,1.891282294
2026-06-08,id1531467766,Apple Search Ads,90137,2081,2081,2806.67698,0.03113790097,1.348715512
2026-06-08,id1531467766,googleadwords_int,668,1357,1357,2030.319752,3.039400827,1.496182574
2026-06-08,id1531467766,product_vix,15002,1661,1661,1125.228232,0.07500521478,0.6774402361
2026-06-08,id1531467766,Digital_Web_LCDLF,0,174,174,950.080122,,5.460230586
2026-06-08,id1531467766,miqdigitaluk,18,265,265,661.4366238,36.7464791,2.49598726
2026-06-08,id1531467766,sojoyapp_int,372,131,131,327.579352,0.8805896559,2.50060574
2026-06-08,id1531467766,Digital,534,18,18,41.16124884,0.07708099034,2.286736047
2026-06-08,id1531467766,Twitter_Paid,32,8,8,8.670680008,0.2709587503,1.083835001
2026-06-08,id1531467766,TikTok_Paid,3,1,1,4.360345967,1.453448656,4.360345967
2026-06-08,id1531467766,OneFootball,376,7,7,,,
2026-06-08,com.univision.prendetv,Altan_Redes,251,0,0,,,
2026-06-08,com.univision.prendetv,organic,299878,7586,7587,,,
2026-06-08,com.univision.prendetv,influencers,0,0,0,,,
2026-06-08,com.univision.prendetv,Social_facebook,30,0,0,,,
2026-06-08,com.univision.prendetv,Social_tiktok,32,0,0,,,
2026-06-08,com.univision.prendetv,product_vix,60213,1913,1914,,,
2026-06-08,id1531467766,QR_code,35,1,1,,,
2026-06-08,id1531467766,Social_Facebook_image,0,0,0,,,
2026-06-08,com.univision.prendetv,lychee,999422,16039,16050,,,
2026-06-08,com.univision.prendetv,starrisedzf_int,343,1,1,,,
2026-06-08,com.univision.prendetv,miqdigitaluk,502,24,24,,,
2026-06-08,com.univision.prendetv,Digital_Web_Univision,0,0,0,,,
2026-06-08,com.univision.prendetv,OneFootball,833,4,4,,,
2026-06-08,id1531467766,crm_vix_svod_eml,2,0,0,,,
2026-06-08,id1531467766,Social_Televisa,0,0,0,,,
2026-06-08,id1531467766,Social_Facebook_longform,1,0,0,,,
2026-06-08,com.univision.prendetv,Social_Facebook_comment,0,0,0,,,
2026-06-08,com.univision.prendetv,Social_Facebook_longform,48,0,0,,,
2026-06-08,com.univision.prendetv,crm_vix_svod_eml,3,0,0,,,
2026-06-08,com.univision.prendetv,QR_code_Arelys,0,0,0,,,
2026-06-08,id1531467766,QR_code_Arelys,0,0,0,,,
